exec,format,format_,niter,x,nprocs,nruns,exec-time,insp-time,size,bs,matrix,speedup
cg_par,ell,ell,500,0,16,9,0.483797,0.068479,67000540,1,consph,
cg_par,csb-b64,csb,500,0,16,9,0.280274,0.230714,30620250,64,consph,
cg_par,csb-b128,csb,500,0,16,9,0.323405,0.279122,30536514,128,consph,
cg_par,csb-b256,csb,500,0,16,9,0.379093,0.324472,30500118,256,consph,
cg_par,eigen,eigen,500,-0.017497,24,9,0.342101,0.085043,36896224,1,consph,
cg_par,coo,coo,500,0,24,9,0.211309,0,48750512,1,consph,
cg_par,csr,csr,500,0,24,9,0.082788,0.004473,36896224,1,consph,
cg_par,dsr,dsr,500,0,24,9,0.090884,0.004602,37229560,1,consph,
cg_par,ell,ell,500,0,24,9,0.431911,0.068082,67000540,1,consph,
cg_par,csb-b64,csb,500,0,24,9,0.201908,0.228948,30620250,64,consph,
cg_par,csb-b128,csb,500,0,24,9,0.232139,0.280447,30536514,128,consph,
cg_par,csb-b256,csb,500,0,24,9,0.263779,0.323875,30500118,256,consph,
cg_par,eigen,eigen,500,-0.017497,28,9,0.349599,0.085325,36896224,1,consph,1
cg_par,coo,coo,500,0,28,9,0.191184,0,48750512,1,consph,1.828599674
cg_par,csr,csr,500,0,28,9,0.076339,0.004481,36896224,1,consph,4.579559596
cg_par,dsr,dsr,500,0,28,9,0.084798,0.004578,37229560,1,consph,4.122726951
cg_par,ell,ell,500,0,28,9,0.471056,0.067965,67000540,1,consph,0.742160168
cg_par,csb-b64,csb,500,0,28,9,0.182297,0.229343,30620250,64,consph,1.917744121
cg_par,csb-b128,csb,500,0,28,9,0.213473,0.278103,30536514,128,consph,1.637673148
cg_par,csb-b256,csb,500,0,28,9,0.225645,0.323625,30500118,256,consph,1.549331915
cg_par,eigen,eigen,500,-39.352134,1,9,1.152521,0.047485,16829816,1,cop20k_A,
cg_par,coo,coo,500,0,1,9,1.432439,0,21793392,1,cop20k_A,
cg_par,csr,csr,500,0,1,9,1.05171,0.002037,16829816,1,cop20k_A,
cg_par,dsr,dsr,500,0,1,9,1.077088,0.002687,17143792,1,cop20k_A,
cg_par,ell,ell,500,0,1,9,2.013919,0.027385,36357604,1,cop20k_A,
cg_par,csb-b64,csb,500,0,1,9,1.659784,1.73433,15223558,64,cop20k_A,
cg_par,csb-b128,csb,500,0,1,9,1.504458,3.370602,14710402,128,cop20k_A,
cg_par,csb-b256,csb,500,0,1,9,1.312186,5.136905,14187922,256,cop20k_A,
cg_par,eigen,eigen,500,-39.352134,2,9,1.006607,0.047629,16829816,1,cop20k_A,
cg_par,coo,coo,500,0,2,9,1.002288,0,21793392,1,cop20k_A,
cg_par,csr,csr,500,0,2,9,0.776253,0.002086,16829816,1,cop20k_A,
cg_par,dsr,dsr,500,0,2,9,0.760259,0.002669,17143792,1,cop20k_A,
cg_par,ell,ell,500,0,2,9,1.50674,0.027099,36357604,1,cop20k_A,
cg_par,csb-b64,csb,500,0,2,9,1.030664,1.747558,15223558,64,cop20k_A,
cg_par,csb-b128,csb,500,0,2,9,0.950022,3.399931,14710402,128,cop20k_A,
cg_par,csb-b256,csb,500,0,2,9,0.833529,5.191114,14187922,256,cop20k_A,
cg_par,eigen,eigen,500,-39.352134,4,9,0.680839,0.047486,16829816,1,cop20k_A,
cg_par,coo,coo,500,0,4,9,0.565144,0,21793392,1,cop20k_A,
cg_par,csr,csr,500,0,4,9,0.469505,0.00203,16829816,1,cop20k_A,
cg_par,dsr,dsr,500,0,4,9,0.405441,0.002676,17143792,1,cop20k_A,
cg_par,ell,ell,500,0,4,9,0.75729,0.0259,36357604,1,cop20k_A,
cg_par,csb-b64,csb,500,0,4,9,0.550665,1.748351,15223558,64,cop20k_A,
cg_par,csb-b128,csb,500,0,4,9,0.532924,3.400537,14710402,128,cop20k_A,
cg_par,csb-b256,csb,500,0,4,9,0.498516,5.189161,14187922,256,cop20k_A,
cg_par,eigen,eigen,500,-39.352134,8,9,0.535647,0.047622,16829816,1,cop20k_A,
cg_par,coo,coo,500,0,8,9,0.361426,0,21793392,1,cop20k_A,
cg_par,csr,csr,500,0,8,9,0.286815,0.002176,16829816,1,cop20k_A,
cg_par,dsr,dsr,500,0,8,9,0.295855,0.002674,17143792,1,cop20k_A,
cg_par,ell,ell,500,0,8,9,0.457593,0.026684,36357604,1,cop20k_A,
cg_par,csb-b64,csb,500,0,8,9,0.357169,1.740829,15223558,64,cop20k_A,
cg_par,csb-b128,csb,500,0,8,9,0.339489,3.371455,14710402,128,cop20k_A,
cg_par,csb-b256,csb,500,0,8,9,0.30552,5.134668,14187922,256,cop20k_A,
cg_par,eigen,eigen,500,-39.352134,16,9,0.464716,0.047712,16829816,1,cop20k_A,
cg_par,coo,coo,500,0,16,9,0.216597,0,21793392,1,cop20k_A,
cg_par,csr,csr,500,0,16,9,0.178747,0.00205,16829816,1,cop20k_A,
cg_par,dsr,dsr,500,0,16,9,0.166109,0.00267,17143792,1,cop20k_A,
cg_par,ell,ell,500,0,16,9,0.350357,0.026876,36357604,1,cop20k_A,
cg_par,csb-b64,csb,500,0,16,9,0.22261,1.741258,15223558,64,cop20k_A,
cg_par,csb-b128,csb,500,0,16,9,0.209175,3.376584,14710402,128,cop20k_A,
cg_par,csb-b256,csb,500,0,16,9,0.192685,5.141595,14187922,256,cop20k_A,
cg_par,eigen,eigen,500,-39.352134,24,9,0.440075,0.047616,16829816,1,cop20k_A,
cg_par,coo,coo,500,0,24,9,0.180685,0,21793392,1,cop20k_A,
cg_par,csr,csr,500,0,24,9,0.1331,0.002025,16829816,1,cop20k_A,
cg_par,dsr,dsr,500,0,24,9,0.131737,0.002732,17143792,1,cop20k_A,
cg_par,ell,ell,500,0,24,9,0.313779,0.02646,36357604,1,cop20k_A,
cg_par,csb-b64,csb,500,0,24,9,0.180976,1.74615,15223558,64,cop20k_A,
cg_par,csb-b128,csb,500,0,24,9,0.163755,3.396251,14710402,128,cop20k_A,
cg_par,csb-b256,csb,500,0,24,9,0.147316,5.184266,14187922,256,cop20k_A,
cg_par,eigen,eigen,500,-39.352134,28,9,0.430051,0.047549,16829816,1,cop20k_A,1
cg_par,coo,coo,500,0,28,9,0.174827,0,21793392,1,cop20k_A,2.459866039
cg_par,csr,csr,500,0,28,9,0.102805,0.002035,16829816,1,cop20k_A,4.183172025
cg_par,dsr,dsr,500,0,28,9,0.124448,0.002667,17143792,1,cop20k_A,3.455668231
cg_par,ell,ell,500,0,28,9,0.277967,0.026787,36357604,1,cop20k_A,1.547129695
cg_par,csb-b64,csb,500,0,28,9,0.16243,1.737415,15223558,64,cop20k_A,2.6476082
cg_par,csb-b128,csb,500,0,28,9,0.157356,3.370601,14710402,128,cop20k_A,2.732981265
cg_par,csb-b256,csb,500,0,28,9,0.144358,5.140867,14187922,256,cop20k_A,2.979059006
cg_par,eigen,eigen,500,1.16E+15,1,9,1.045638,0.039706,16106672,1,mac_econ_fwd500,
cg_par,coo,coo,500,0,1,9,1.21216,0,20374224,1,mac_econ_fwd500,
cg_par,csr,csr,500,0,1,9,0.833263,0.00211,16106672,1,mac_econ_fwd500,
cg_par,dsr,dsr,500,0,1,9,0.926087,0.002592,16932672,1,mac_econ_fwd500,
cg_par,ell,ell,500,0,1,9,7.401766,0.05475,111510004,1,mac_econ_fwd500,
